review,score
amazing movie made me cry in the cinema,5
A great Marvel movie. Well done!,4
Probably the last Marvel movies I saw that actually hooked me. It was a massive undertaking and they stuck the landing perfectly.,4.5
"The most dramatic film of the saga but it has all the tricks up its sleeve to be a blockbuster film. With mind-blowing combat, dramatic dialogue, fun and unexpected twists, Avengers: Infinity War is one of the most famous and beloved films ever",4
Avengers: Infinity War is one of the best marvel movies of all time that's also super entertaining with a heart breaking ending!,5
"Certainly one of the few crowd pleasing blockbusters where the villain wins in the end, Infinity War has one epic scene after another. I would argue this is the best 1st Act in any superhero film.",4
The Greatest Movie of All Time,5
"Simplesmente o melhor Live Action de heróis, transborda de emoção, ação e trabalha os diversos focos com maestria, é simplesmente cinema. Nota: 100% 🍅",5
"My favourite out of all the Avengers films, dark, & depressing toward the end, a refreshing change.",4.5
"Não superou minhas espectativas, achei que o filme andava de forma meio lenta, mas em geral é bom, nada mais",4
Top 5 Best comic book movie ever! And team up movie.,5
"LEGAL DEMAIS, MUITO BOM MESMO!",5
The best Avengers film ever and love how to was able to utilize all the characters while not giving the spotlight on just one character as much as it is centered on Thanos plan for universe destruction,5
Heartbreaking and Breathtaking. Infinity War freaks the audience out and creates theories that make people want to question what will happen next or what may happen on who either lives or dies.,5
"Muito bom, a sua continuação é melhor (ultimato) mas deixa o mistério no ar de (hj em dia) como existe Wanda vision, Dr estranho 2, homem aranha 2 e 3... e só é revelado em ultimato",4.5
"Intense, thrilling, emotional, action-packed, brilliantly scripted and executed with a shock ending - truly one of the greatest films of all time!",5
greatest battle of the mcu right after nwh,5
Ons of the darkest MCU Movies but thats a good thing but also one of the best,5
second greatest movie of all time,5
Probably one of the best Marvel movies out there. I loved getting to see all the charaters in one movie and I liked seeing them work together. It had all emotions in one and hooked me from the start to the beginning.,4.5
"i change my mind about this movie its not perfect but still great but not perfect i watched a video by carlin brothers about doctor strange and i don't like doctor strange he lied to tony about what happened and makes no sense its just him that brings this movie down.but the rest of it is amazing honesty with great action,great,cast,and a awesome villain he's amazing thanos man he looked a like a boring villain atfirst but he's amazing.this movie is 8/10 awesome!",4
"Not quite top tier MCU, but very close. This is the second best crossover ever on screen, after the first Avengers. The film manages to balance so many characters and plotlines perfectly. Yes, there are some flaws like the sheer amount of storylines audiences must keep up with at once and *SPOILERS* Gamora'a fridging *END OF SPOILERS* But overall this is such a fun experience, and the Russo Bros's best directorial work yet.",4
"O MEU FILME FAVORITO DA MARVEL. Esse filme é um dos maiores acontecimentos cinematográficos da Marvel e do cinema em si. Junta muitos personagens e herois, que as pessoas esperaram anos para verem eles lutando lado a lado. A imagem é maravilhosa e os cenários incriveis. Esse filme só não me agrada em uma coisa. Eles não lutam todos juntos. Enquanto uns estão em Wakanda, outros em Nova Iorque (cena pós-creditos) e outros no espaço, literalmente noutro mundo. Acho esse filme maravilhoso.",5
"After all these years and all these MCU movies, things are finally starting to pay off. Thanos is a character that audiences can't help but be interested in. Unfortunately, the movie feels very disjointed. Because there's so many characters, it can be awhile before we check in on a character we had earlier in the movie. That's not necessarily an issue in itself, but sometimes their actions are forgettable, so you have to remind yourself what they're even doing. There's a big focus on the Guardians of the Galaxy which I like, but they definitely get a lot of screen time compared to other Avenger veterans. Tom Holland and RDJ have great chemistry. Their characters work very well together. CGI can he kind of hit or miss depending on the scene. All-in-all, this is a very good movie that is leading to a heart-stopping conclusion, and I would definitely recommend this movie to others.",3.5
3 hours long and still not long enough... Thanos is my Hero. Delivers in every way!,5
One of the best comic book movies made. Amazing visually and very compelling villain.,5
"Everything you could ask for as a fan. It is an action packed movie with tons of iconic scenes. If you take the time to watch the rest of the mcu movies beforehand, this is one of the greatest movies of all time",5
"The ending was a refreshing spin on the comic book genre but the film still repeats the same mold as every other Marvel film. Over the top CGI scenes with witty, comical dialog that us supposed to be hip. You've seen one Marvel film, you have seen them all.",3
"The perfect dramatic yet dark end, building up to the great finale.",5
"In my very own opinion, one of the best movies ever made. Thanos is a FANTASTIC villain he's so complex and interesting as character. And its a MIRACLE that this movie didn't suck, you know, balancing the 30 characters in one movie? Yeah, sounds pretty hard. This is a wonderful movie. It's a must watch.",5
One of the best comic book movies ever made. The ending was perfect and set up the sequel in the perfect way possible.,4
A+ ~ The best Avengers movie and arguable the best Marvel movie. It was nonstop action from beginning to end and one of the best experiences for a fan who has been watching since the beginning.,5
"Thanos is great. Wtf all those superheroes do? Idiot Star-Lord. Useless Wanda and Vision, wondering have that superpower but do nothing.",3
A quintessential avengers movie,4
rip everyone. gg thanos,5
"Amazing, of course, but still not perfect, Marvel! Maybe too much action and explosions in this movie. I would have enjoyed it even more if they had focused much more on the plot and the development of characters. As far as I am concerned, it is a great movie, but.. too much of everything maybe sound confusing!",4
"Have found myself liking or loving a lot of Marvel's previous work, while finding a few faults with most. It is very easy on the most part to see why they are highly regarded critically, though those more critical of their work have raised criticisms that can be agreed with by me. Loved the first 'Avengers' film, while 'Age of Ultron' was more problematic and generally a lesser Marvel effort though still having a good deal to admire. 'Infinity War' for me was the best one, or the one enjoyed most. Would also go far to say it's one of Marvel's overall best, and a perfect example of how to do a superhero film and how to balance a large cast of characters and a lot going on. Can totally see why it has been so positively reviewed and it deserves the positive hype from personal opinion, though would hesitate in calling it flawless or one of the best films ever. More could have been done with the very end, which felt like it ended a little too suddenly without resolving everything to full effect. It may very well have been leaving room for a follow-up, but to me it's always been dangerous somewhat to do that just in case a follow-up doesn't happen. Scarlett Johansson also has far too little to do, with too short screen-time. Black Widow is the only character to me who felt underdeveloped and Johansson struggles to do much with it. However, the rest of the cast are spot on. A big shout out goes to Josh Brolin, who makes for a menacing and melancholic Thanos. Speaking of Thanos, Marvel have tended to underwhelm with their villains, underwriting them and giving them vague or inconsistent motivations. Thanos is easily one of the best Marvel villains along with Hela, one of the most interesting and of surprising complexity where he is a threat but one can see his point of view. Robert Downey Jnr, Chris Evans and Chris Hemsworth are also standouts of a near-uniformly great all-star cast. There are a lot of characters here, but somehow on the most part it didn't feel like there were too many (a big danger with films with many characters and a trap fallen into quite a lot). They hold a lot of intrigue and manage not to be too sided and true to character. Likewise, the story is very eventful with a busy main story and several subplots. Yet it didn't feel sprawling and managed to make sense and never lose engagement. Basically it's a non-stop thrill-ride and tautly paced, with some reveals that leaves one gasping, twists that genuinely shock, rousing entrances and some of the finest action sequences of any Marvel film or any film recently, that are truly exciting and big in scale without being too noisy or exhausting. The climax is truly epic, in scale, spectacle, thrills and emotion. 'Avengers: Infinity War' hugely impresses in the script too, with snappy banter, hilarious quips (along with 'Thor: Ragnarok' this is one of the funniest Marvel films, Thor has the best of it), tension and an emotional poignancy not seen to this extent or as strongly in Marvel films. It's all intelligently handled and the humour didn't feel misplaced or inappropriate to me, this is a Marvel film that delivers on the spectacle and thrills while also having brains and heart. Marvel never disappoints when it comes to the production values. 'Avengers: Infinity War' is not an exception. It's beautifully and atmospherically designed, slickly filmed and edited and the special effects, not overused or abused, are some of the most extravagant and spectacular for any film seen recently. It's tightly directed and dynamically and rousingly scored. Overall, an excellent film and one of my standout viewings of all the films seen so far from the first half, and overall, of 2018. 9/10 Bethany Cox",4.5
"I'm waiting anxiously to a Marvel movie that will make me say ''Damn, this was better than Infinity War''",5
"This movie shows what patience and long build-ups can produce, which is the coalescence of all these characters you know and love battling it out against the biggest threat yet.",5
A cinematic masterpiece.,5
"Disney's Marvel's Avengers: Infinity War is about an infinite number of superheros fighting the halfway-existential threat of Thanos. The movie is even more bloated than the previous two Avengers films, but surprisingly holds together. Thanos is the most compelling villain yet. He does not see himself as the villain. He has a rational motivation for wiping out half the universe, and has the courage of his convictions. He shows humanity, despite being a giant, purple space monster. The ending, however, did not resonate as much as it should have. With half the MCU heroes being wiped out (though none of the ones who signed a four-film contract and leaving only about 70 Avengers for the next film), the audience should have been devastated. But since these films are so tonally light and cartoonish, the stakes don't feel all that high.",3.5
"Thanos is so epic, I love him.",5
"Brought the entire set of Marvel movies made over the past decade to a climax, especially with the cliffhanger ending, it reminded me of the ending to Star Wars ""Empire Strikes Back"" and left you waiting for Endgame.",5
"The MCU movie that made me really emotional! Action-packed, humorous, and very engaging! You won't wanna miss a thing!",5
JUST SEE IT!!IT IS AMAZING!!!!,5
"I really liked it! I don't care about all the bad review because this is a 2010s masterpiece. Like Heath Ledger as the Joker, Josh Brolin does an Oscar-worthy performance as Thanos! I can't believe I wasn't interested in the MCU back in 2018, but this movie blew my mind! It's a definite recommend for anyone looking for the next blockbuster superhero flick! And if the ending does not get you hyped for the sequel, then you need some serious help.",4.5
"Avengers: Infinity War tells the story of the combat of several heroes against an enemy, much bigger than them. The movie is, quite simply, a 21st century masterpiece, probably the best hero movie after its sequel. The biggest highlight is its script, which managed to bring together several characters and built a VERY intriguing story, and its visual and general direction, which is impeccable. Not only that, but the adventure and action are perfect, especially with the good acting. Another extremely positive point is that, even though the film is long, there is not a moment when you disconnect, as the jokes are balanced, the dialogues are not tiring and the story is captivating. The film is an explosion of emotions, especially for fans. Honestly, I dont see any major downsides in the film. Everything fits perfectly. Not only that, but its a movie that manages to stand on its own, although its always better to watch the previous movies for a better experience.",5
Fenominal! Amazing movie. Very touching.,5
"This film was so highly anticipated that it seems like the creators felt like failure was impossible, and so over hyped after-the-fact that nobody wants to point out the obvious flaws. Now, if I decided to delve into every issue I had with the film, we'd be here all day, so I'll focus on my biggest gripes. These two things are crucial to get right if you want to make a quality film, especially a superhero film and ESPECIALLY one this ambitious. You can't sacrifice the basics. The script, and the villain. The script was cringe worthy from the very beginning. You could tell the actors were doing their best with what they were given, but unfortunately their efforts couldn't salvage it. Many lines and scenes felt superfluous and doused in gravitas without any substance to speak of, leaving me wondering if I was missing something. It seems like it would be difficult to make your characters sound like they're being over dramatic when the stakes are half the lives in the universe, but somehow this script succeeds. However, my absolute biggest gripe of the film was the flimsy, unsympathetic, one-dimensional and frustratingly melodramatic villain, Thanos. Now, I know for a fact that Marvel knows how to write a quality villain. You've got sympathetic characters that, under certain circumstances, you may actually find yourself rooting for like Helmut Zemo, Eric Killmonger, Ava Starr and (more recently) Black Widow's adaptation of Taskmaster. There are charismatic, campy villains that sacrifice relatability for entertainment value like Hela, Mysterio and (more recently) Agatha Harkness. There are tragic villains that compellingly surrendered to the lemons life gave them like Loki and (more recently) Wenwu. Even most of Marvel's villains who are just straight-up psychopaths have a fleshed-out motivation, like a lust for power or money (Ulysses Klau), revenge (Aldrich Killian, Ivan Vanko), or zealotry (Ronan, Kaecilius) to support and strengthen their character Thanos has exactly none of those things. Maybe he'd be sympathetic if we knew more about him, but we don't. He's not charismatic, tragic or relatable. As a matter of fact, he has no clear motivation for his actions whatsoever, making the melodrama of his speech pattern unearned, incredibly grating and frankly hard to watch. I have no idea what gets him out of bed in the morning or what happened in his life to get him to this point. Maybe he's more fleshed out in the comic books, but if your movie has required reading in order to enjoy it, I'm sorry, you're doing something wrong. This conundrum is further emphasized by the fact that his end goal doesn't make sense, and there are about a million alternative solutions available to the wielder of the infinity gauntlet to the problem of overpopulation that don't include genociding half of all life, yet he seems stuck on it for absolutely no reason. A good superhero movie is made or broken by the quality of the villain, and the whiny, superficial antagonist here was incredibly immersion-breaking. I didn't believe him. To me, he felt like nothing more than an overpowered, psychopathic, petulant child. Overall, I have to say, I expected a lot more from Marvel. The plot felt rushed and the interactions of the characters that don't typically interact felt clunky, lazily written, and at times felt like entirely different characters than the ones I've come to love. I genuinely don't understand how so many people claim to love this film so much. It was, simply, terrible.",1
An incredible plot and character development. This is such a fantastic movie. The emotion is so real every time I watch Infinity War.,5
"I remember the day I went to the movie theater to watch this movie, ""it's gonna be bad, there's no way that they can tell a compelling story in less that two and a half hours, there's too many characters that have to be introduced to each other, there won't be enough screen time to do so and carry on with the story"", oh man, how wrong I was! This movie has Anthony and Joe Russo written all over the place, the writting is fantastic, the movie is well paced, and every character remains true to their own self which should have not been easy to pull off. This movie is a masterpiece.",5
A really cool movie. It began the finale of the Infinity Saga really well. Worth watching.,5
"This is the best Marvel movie I saw. I can watch it over and over again and I'll never get bored. Good plot and development, 5/5",5
Definitely a big improvement from the 2nd Avengers film. Incredible action in this movie. 4.5/5,4.5
"Thrilling, enthralling, funny, exciting, emotional and simply eye-opening.",5
The begining of the end.,5
Incredible work from the Russo Brothers as it was a very good movie.,5
Best Marvel movie to date. And second best superhero movie of all time right up there with TDK.,5
one of the best team up movie,5
"Who are we meant to root for in this movie? Two groups of heroes who go against their own character to enact brain-dead plans, or the super villain whose brilliant plan to save the universe is foiled by basic population growth? Of course all of this ridiculousness can be explained away by one character's vision of the future, a vision which seems impossible given the words of his mentor in his own origin story. It's an easy cheat, but ultimately unsatisfying.",2
"This movie is perfectly balanced as all things should be. Great action great story. Bringing the villains to life with back story,emotions, understandable goals without taking away the fear he brings(even if he goes about his goals in a genocidel way)",5
"This is by far the best Marvel movie ever made. Best sympathetic villain of all time in Thanos, amazing plot with the Infinity Stones, great pacing despite numerous characters/storylines. The only downside to seeing this is that every other superhero movie you watch will never measure up. TRUE RATING = 93/100",4.5
"Over a decade of characters hits the same wall at the same time, and that wall never falls. Infinity War is fantastic not just in execution but its many successes; its minor flaws only popping up particularly in the extent to which its primary antagonist ends up becoming not only the central character, but also seems to be given a little too sympathetic of a depiction despite being a literal genocidal monster.",4.5
"Nonstop action that doesn't feel forced. Despite its gargantuan cast, every character is given an important role and arc in some way or another. One of my favorite movies ever.",5
"Absolute must see. Humour, adventure, villain, storyline, CGI, action, everything is packed into this masterpiece.",5
"All character development, script, art, CGI, narrative, sounds, etc., is, literally, a masterpiece. Success is not for nothing.",5
So many characters and stories that needed to be tied together and somehow they did it perfectly. This movie has sky high stakes and a truly epic third act that will have you dying to know what happens next.,5
my rating says it all....Great movie,5
Melhor filme da vida q eu já vi,5
"Top 3 MCU movie of all time without a doubt. Finally we see Thanos and within the first 10 minutes we find out he’s everything we were told to be afraid of and has the best written character in the entire MCU he’s so captivating every time he’s on screen, Mr Cumberbatch Chris Hemsworth Robert Downey Jr really shine in this action packed ride cause this movie does not relax right from the get go you understand this is gonna be dark and might not end well for our favourite hero’s but the avengers never lose right…",5
Tbh this is the weakest of the avengers movies but still amazing.,4
"Mil veces mejor que Endgame, una película que si sabe introducir personajes y también una lucha real con el villano",4
"Great movie, really entertaining, i like it",4
Really nice action-packed movie.,5
AHAA. THANOS BABAAA.,4
"This movie is one of the best movie of marvel ever made. All past movie was build for this movie and it works so well. Heroes should stop thanos to collect all stones, this will make us hooked till the last and movie is so well paced and its also brings out everything from the actors in the movie. The best thing was the action in the movie which was so well made and of high quality. Thor at the end was a major highlight.",5
"The best of the MCU by miles. The main character of this film is Thanos, and so we get to understand his psychology and by the end of the film, we understand without a doubt how far he is willing to go to complete his mission. Tony stark has a brilliant story where he once again risks his life to save the world. Watching him at the end as he realizes that they failed and loses Peter in his arms is a gut wrenching and poignant ending. Thor's brilliant character work started by Waititi in Ragnarok is carried on here along with the humour and he has my favourite scenes in the movie: his interactions with the Guardians, his quiet moment of reflection with Groot and Rocket, his entrance into Wakanda and his final confrontation with Thanos, all just brilliant. Captain America has the least to do of the big three, but his story is still good as the one to lead the defence on Earth alongside T'Challa in Wakanda, while trying to save Vision. My only issue with the movie is the visuals during the scenes on earth, which can be jarring.",5
"This my favourite marvel movie had everything sadness, anger, fear, a lot of action and had great scenes and you don't see much movies where the bad guy wins but this had it so it was different this movie is underrated it needs to given more credit.",5
Perfectly paced and accomplished anything that a two part film could set out to do. Not one dull or poor moment. Probably best MCU/superhero movie to date.,5
A fun movie with a great storyline,5
"Mercy is what Marvel has us at. I left the movie theater officially needing to bow down and praise the MCU for bringing everything and everyone together. We've been with these characters for 10+ years, they've grown on us, whether we liked them or not. Well thought out storyline all around. Everyone played their part without stepping on others toes. Craftily done. PERFECTION.",5
one of the best mcu and marvel movie,5
Great set up for upcoming closure.,4.5
the best marvel movie ever!!!,5
"With the story centering around Thanos, this movie flourishes. If you are a fan of the MCU, this film will put a smile on your face and leave you speechless at the end.",5
"É importante pra ver o ultimato, se não eu não veria de novo.",3.5
Just pure perfection!,5
Miglior film per scene d'azione,5
"I think it's my most favorite MCU movie but Avengers Endgame was my least favorite Avengers movie (it seems very bloated and sluggish). This movie is very well done, but I only wish that Avengers at the end of the movie had a little longer fight with Thanos... I mean some characters were just tossed around like it was nothing.. I think it would have been better if more of the Avengers fought Thanos to the death before ending conclusion.",5
"The best movie of UCM, very impacting with the end, very asome.",5
"Avengers Infinity War is the culmination of 10 years of the Marvel Cinematic Universe, and it does not disappoint. With a wide range of characters, and multiple plotlines going on, this movie should be one of the hardest to keep track of, yet everything blends and flows almost seamlessly. There are of course hard cuts in the story that happen as it switches to different characters, but second after the cut the new scene already stations itself and get the viewer back on track. The entire movie is a rollercoaster of action, emotion, and witty humor that keeps it going as a movie that will be remembered as one of the best Marvel Cinematic Universe films. Avengers Infinity War is a requirement to watch before Avengers Endgame, and one I highly recommend going back and watching again anyway.",5
"From Thanos to the plot to the heart breaking ending, this movie is a must see gem!",5
Simply the greatest blockbuster of all time.,5
"Infinity War is extremely entertaining and rewatchable. The film does a good job of establishing Thanos while further developing existing characters. Once it starts, the story never slows down and makes for a fantastic watch.",5
"It's okay, but a little bit too boring.",3
This Movie is the best Marvel movie of all time.,5
"This film, whether we focus on its concept, its execution, its thematic consistency, its creativity in narrative subversion, or its ability to please a crowd, is one of the greatest feats of modern film, and is arguably the greatest film produced by Marvel studios to date.",5
Great film I wish it was longer,5
The best Avengers so far! You get a feeling that the characters actually have flaws and leaves the audience wanting more!,5
"Amazing loved it, I mean it's marvels avengers what else do I need to say…",4
unbelievable experience,5
"This movie felt like it went on for infinity... This really is another convoluted bloated CGI mess. A movie that shoves jokes in any crevice it can find and won't even take itself seriously because the writers know how laughably childish and braindead this film series is. I sat there in the theatre, my brain melting from the starburst cacophony of CGI battle effects that seemingly went on without any direction. It gets boring watching the same city destroyed, the same tired cliches, and a pot designed for people with the attention span of a goldfish. Yet in the end it was all for nothing. There was no solid conclusion to this idiotic yet convoluted plot, just a set up for the next cash-in sequel. Sit down and consume next entertainment experience.",0.5
Marvel really know how to make double money aren't they,5
One of the best films in the MCU.,5
An entertaining ensemble structured to show off each character in the universe just enough. Josh Brolin as Thanos was superb. It left me feeling exhilarated and cheated at the same time when I first watched it.,4.5
"Ha, some fans had to attend Therapy and Counselling after watching this movie. The ending was a rollercoaster of emotions. Good guys sometimes lose and bad guys sometimes win.",5
When I first saw this in theater I wanted to watch it again man I was blown away and couldn't wait to see what happens next in avengers endgame I love this movie. ❤️,5
Simplismente perfeito!,5
sin duda alguna de lo mejor de Marvel esta aca todo lo que un fans puede esperar de un cierre en su primera parte de una era dorada,5
What an emotional rollercoaster 😭😭😭,5
"A great film as well as its history, is epic, yes, but it is not saved from failures, and it is that, in my opinion, the lowest point of this film, are the visual effects, and that is that they are Fatal! since they are not surprising at all, in fact, they are in excess and that causes it to not even look real anymore, practically the entire film is CGI and it seems as if it was unfinished, I think it could have been much better. It has a large number of characters, and I like that each one has their moment to shine, that's a plus point. The actions of each character are completely justified, Thanos as the main antagonist is perfect, the reasons for which he acts are given and he gives more richness to the film. Anyway, you can not stay without seeing Infinity War, it is a good movie but I think it was enough for more, that if, this does not prevent you from enjoying it at all.",3.5
this movie had me reeling. i cant wait for endgame!,5
Greatest Comic Book movie of All time ! Once in a lifetime experience.,5
By far one of the best marvel movies ever!,5
"Perhaps the most important film in the MCU to date, ""Avengers: Infinity War"" perfectly balances the large cast of heroes and blends them into this mix of action and humor packed quest to stop the mad titan, Thanos. The film has had such a big influence on our modern day because of how groundbreaking it ended up being. The CGI looked pretty awful at parts, though for the most part, it remained strong. At the end of the day, this was easily one of the best MCU films that has been released so far.",4.5
"I could sit here and type good things about this movie all day. The best Marvel Movie ever (Including its sequel) Josh Brolin's Thanos is the best cinematic villain ever, this includes the likes of Darth Vader. While you may think I have a Marvel bias, I actually prefer Star Wars, but must admit that Thanos is truly incredible.",5
Finalmente Marvel da un paso hacía adelante en un universo compartido que se estaba quedando estancado,5
"A hard hitting, emotional film. I didn't want it to end. You could hear a pin drop in the cinema when Thanos snapped his fingers and people started to disappear. No doubt about it, the most action packed MCU film and it was awesome!",5
"This movie legit had me gasping out loud and whispering ""what the hell?"" in the space of 5 minutes. Edge of your seat super hero movie. All these characters that you think will have plot armor; this movie completely changed the game. Tom Hollands performance made me cry so hard and I hadn't even seen his first Spiderman movie yet. That kid is an incredibly gifted actor. Plus... bearded Captain America? Yes please.",5
Greatest comic book film ever!,5
outstanding action amazing characters and some hilarious lines this movie is a must watch.,5
Este filme sensacional. A história é construída com muita habilidade. O roteiro convence e os efeitos especiais são excelentes. Os diversos personagens são bem distribuídos na trama e as cenas de ação são muito bem executadas. Entretenimento de primeira grandeza.,5
"This is a must-see film, especially for the Marvel fans out there. If you've never seen an MCU movie it is time to get started folks. This movie has twists and turns you wouldn't come to expect from a Marvel film, and the ending is oh so sweet. The film has you on the edge of your seat, and its sequel feels like centuries away.",5
Another fantastic addition to the MCU. Delivers the MCU's most complex and threatening character in Thanos and an absolutely gut-punching ending. Everything in between is fantastic and Marvel delivered in this big-budget ambitious thriller!,5
Stupendo la battaglia è una delle più belle della storia del cinema,5
One of the absolute best Marvel movies by far.,5
My favorite Avengers movie ever. Better than End Game.,5
Foi incrível que vou guardar na minha cabeça pelo resto da minha vida,4.5
Goosebumps right when I think of the movie. Such an epic conclusion - part 1. Keeps you so eagerly waiting for the End Game!,5
"Thanos! Nuff said. Well along with ""Not feeling so good"" as well as ""Ebambay!!!"" if that's how you spell it. Pacing, story, action, it is an instant classic and is a master class on Story management. Well Done!!!",5
"WOW, esta increible, tuvo un giro a la trama increible, de verdad, lo maximo",5
"Não faz sentido alguém do passado ser ,mais forte que os três juntos e sem as jóias do infinito kk",0.5
"Often times its pacing is ahead of the story it’s trying to tell, but in spite of that, “Infinity War” is a satisfying team-up of many MCU characters that will leave fans wanting more.",3.5
More than magnificent. A masterpiece.,5
Perfection. Period. A+,5
"Really showcases some of the individual strengths of our heroes. Paints the picture of the mad titan Thanos, player brilliantly by Josh Brolin",5
Such a great movie even if you aren't a MCU fan.,5
"I've always loved this movie, and it's top 5 MCU material. This and Endgame fit so well together (even though I consider this quite a bit better than Endgame). I remember when nobody wanted this or Endgame spoiled. 10/10",5
"The first truly serious super-hero film, it reminded me more of Saving Private Ryan than anything else. The opening with Thanos stomping Thor and Hulk... heart stopping.",4.5
One of the greatest movies ever maid. Absolutely a masterpiece.,5
Best Superhero Crossover of all time,5
"Will leave your heart strings tugged, but is a master class in character development.",4.5
"Good action, good acting, awesome villian and some of the best special effects out there, top 5 comic movie",4.5
One of the greatest marvel movies ever made,5
"I'm going to compare Endgame to Infinity War. Endgame is a film with a ""tiring"" vibe as it deals with the end of the world after the events of Infinity War. Infinity War is more fluent, and it also has moments as epic as Endgame. The two films fit together perfectly, Marvel is fantastic. (9/10)",4.5
"La película del universo de Marvel que rompe con la fórmula tradicional, es sin dudas la mejor de este universo, con un protagonista que es tan interesante que a pesar de ser el villano, es fácil ponerse de su lado, en conjunto con los grandes líderes de este universo hacen una película que genuinamente te engancha e impacta desde el primer minuto",5
👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍🌟🌟🌟🌟🌟,5
"75% of the critics love this movie, with 25% thinking its overstuffed and bloated and unsatisfying, I agree with the former. Though full of characters and story, this film is well fleshed out and well balanced and provides something Marvel films tend to lack, real consequences. My only beef in the film, which by correcting would have ranked it higher, was: 1) Why Star Lord felt it necessary to provoke Thanos, rather than help take the glove off, causing his predictable escape?",4.5
"Best movie I've ever seen, awesome crossover between all the characters, awesome action and an awesome ending I would have never expected",5
arguably the best marvel movie next to the Winter soldier,4
Não a como descrever esse filme! Sonhos de uma nerd em uma tela de cinema p1,5
"One of the greatest marvel movies by far a fitting beginning of the end. Infinity war greatly manages to balance lots of characters, its main villian and a good plot perfectly. Every character gets screen time and a chunk of the action providing some of the best character moments and action scenes in the MCU. Thanos is instantly a very intimidating villian making his presence known as he gets a suprisng but welcome amount of character development. Infinity war also has a lot of emotion running through it a big tear jerker for many fans indeed. A landmark in the comic book movie genre and the MCU infinity war ticks all the boxes a must watch.",5
"Amazing cliffhanger for the fans, I didn't expect it at all. 9/10",4.5
great movie. i loved it. when the pretty long movie ended I didnt want to leave the cinema. I was looking for the play button for the next chapter! one of the best ever,5
"Amazing gathering of all characters and one of the longest screentimes for a villain at the same time. Lack of character development is not an issue, as all the characters are already very well-developed. It is not a tremendous accomplishment for the MCU only but film history in general.",5
A great movie with everyone getting there time to shine and nail-biting moments makes this one of the best superhero movies ever made.,5
Probably one of the best films in the MCU. Pure emotion at the end though!,4.5
"Wow. On paper, this movie should be a total mess. But the brilliant Russo brothers pulled off a movie that perfectly balances the different sides of the MCU. Everything from the non-stop action to the emotional moments is an absolute treat for almost every MCU fan.",5
No hay ningun momento aburrido en esta pelicula y esta llena de marvel epico,5
#5/25 Best Moment: The ending and the action,4.5
DAMN BOIIIIIIIIIIIII.,5
"No doubt, this is the second best MCU film ever.",5
"This movie is not good. So in order to cleanse the bad taste that left by this movie I will share a Delicious Katmer Recipe.Un, sıcak su ve tuzu derin bir kapta karıştırın.Kulak memesi yumuşaklığında bir hamur elde edene kadar yoğurun. Hamuru 8 parçaya ayırıp parçaların her birini güzelce yuvarlayın. Tezgahı ya da başka bir düz zemini bolca unlayarak hamurları tek tek açın. Tereyağını eritip hamurların üstlerine gezdirin. Hamurları dıştan içe doğru sararak rulolar yapın. Ruloları kendi etraflarında spiral olarak sarıp 10 dakika kadar dinlendirin. Dinlenen hamurları yeniden tabak büyüklüğünde açın. Tereyağını eritip içine suyu ve tuzu ekleyin. Yeniden donmaması için kısık ateşte bekletin. Hamurların her iki tarafını da yapışmaz tavada iyice pişirdikten sonra üzerine yağlı sudan sürün. Katmerleriniz hazır. Soğumadan servis yapın.",0.5
"I absolutely loved this film. It's indeed better than Endgame, despite its problems.",5
my favorite mcu movie,5
"88/100 one of the best, the only reason that he's not the first, it's bc endgame was like a masterpiece",4.5
"Definitely a good film, nice set up and follows all the years of Marvel stories.",3.5
"Phenomenal movie. The third act really shines everytime, on every rewatch, it all lead to this moment and they seriously delivered.",5
Purple Chinman's quest for jewelry might be the lamest and least interesting McGuffin ever put on film.,1
"In my opinion it's the best superhero movie ever made. It's agile, engaging, and charming. And it doesn't force you to be taken seriously. It manages to embrace the entire audience from child to adult.",5
"A very weak movie... full of plot holes. Its a disappointing conclusion to such a long line of great hits. Character development actually goes backwards, failling to pay true homage to great heroes such as Thor and Cap America",1
"Poor Hulk, he gets beat up by Thanos and suffers a mental collapse as nobody ever treated Hulk like this before! It was great to see a lot of Marvel characters in one movie, but they left out the Fantastic Four and Ultimate X-Men. Not faulting this movie but too much falls on the remaining members. In all honesty I cannot give this movie a 5 star rating so four stars will have to do!",4
"What. A. Movie. This movie SLAPPED! The action is phenomenal, the characters were great and the ending just makes you more invested in the MCU. It's better than endgame imo",5
"The best Marvel film to date. Amazing story, perfect pacing. This film is amazing.",5
It's easily in the top 3 favourite and best MCU movies ever made... LOVE IT LOVE IT LOVE IT,5
"A titan in the superhero genre, no cinematic universe will ever be able to do what this movie did, a 10 year and 18 movie build up, and it sure as hell delivered, somehow being able to juggle 4 different plot lines and make it work flawlessly and having one of the best character arcs in the genre in Thor. This wasn't just a movie, it was an event. One of the greatest comic book masterpieces and a true force of nature in cinema.",4.5
Really good film. I just wished Thanos didn't acquire all the stones. It made Endgame have to resort to the cheesy back in time exploit.,4.5
